Name,Title,Research question,Data type,Bulk/single cell,Which level,Model architecture," Passive vs. Active Approaches",Taxonomy (Table 3. Zhan et al),Post-hoc interpretation method,Interpretation types,Prior knowledge,Computational resources used,Sample size,Inputsize,Advantage,Disadvantage,Notes,old_interpretation_column,Why interpretable,Last edited time
https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-020-03850-6#availability-of-data-and-materials,Investigating the relevance of major signaling pathways in cancer survival using a biologically meaningful deep learning model,Patient survival prediction with investigation of major signaling pathways,"CNV, mRNA (gene expression)",Bulk,Pathways,Convolutional Neural Network (CNN),passive,"attribution, local",,"perturbation, prior knowledge",KEGG,Unspecified,">1000 & <5000, >200 & <500, >500 & <1000",< 10000,Density distribution of relevance scores → estimate robustness better!,limited to prior knowledge and selection of pathways under study,Implementation: iNNvestigate package,"KEGG, perturbation, prior-knowledge",,"February 16, 2023 2:12 PM"
https://www.liebertpub.com/doi/10.1089/cmb.2019.0320,Explainable Deep Learning for Augmentation of Small RNA Expression Profiles,Prediction of missing metadata,ncRNA,Bulk,Tissue type,ANN,passive,"attribution, semi-local",DeepLIFT,backpropagation,,Unspecified,>1000 & <5000,< 10000,"analysis on different levels - sample, class; added stability estimates through permutation",heavily limited by class imbalances (e.g. of rare tissues),,DeepLIFT,,"February 16, 2023 2:12 PM"
https://biodatamining.biomedcentral.com/articles/10.1186/s13040-021-00285-4,Integrating pathway knowledge with deep neural networks to reduce the dimensionality in single-cell RNA-seq data,Predict cell-types in scData,sc-transcriptomics,Single-cell,Pathways,ANN,active,"attribution, global, hidden semantics",,"prior knowledge, visualisation",KEGG,Unspecified,">1000 & <5000, >50 & <100, >500 & <1000",< 10000,directly merge visualisation and prediction in one framework,not possible to interrogate which pathways are important for prediction,,"KEGG, prior-knowledge",,"February 8, 2023 3:53 PM"
https://link.springer.com/article/10.1007/s12031-020-01514-x,Application of Artificial Neural Network for Prediction of Risk of Multiple Sclerosis Based on Single Nucleotide Polymorphism Genotypes,Application to multiple sclerosis,SNPs,Bulk,Genes,ANN,passive,"attribution, local",LIME,,,"CPU, Unspecified",>500 & <1000,< 1000,-,study limited by the little number of features used,,LIME,,"February 8, 2023 3:54 PM"
https://bmcmedgenomics.biomedcentral.com/articles/10.1186/s12920-019-0624-2,Interpretable deep neural network for cancer survival analysis by integrating genomic and clinical data,Cancer survival analysis,"clinical, mRNA (gene expression)",Bulk,"Genes, Pathways",ANN,active,"attribution, global, hidden semantics",,prior knowledge,"KEGG, Reactome",Unspecified,>500 & <1000,< 10000,nice to see directly Kaplan-Meier plots for individual pathways,prior knowledge,,"KEGG, prior-knowledge",,"February 16, 2023 2:12 PM"
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0269570,Pathway importance by graph convolutional network and Shapley additive explanations in gene expression phenotype of diffuse large B-cell lymphoma,Estimate pathways-based diffuse large B-cell lymphoma subtypes,mRNA (gene expression),Bulk,"Genes, Pathways",Graph Convolutional Network (GCN),passive,"attribution, local",SHAP,"game theory, prior knowledge",KEGG,GPU (>13 GB),>200 & <500,< 10000,thoroughly compared to GSEA,"prior knowledge, worse prediction than logistic regression model, SHAP doesn’t provide confidence intervals / robustness estimtates",,"KEGG, SHAP",,"February 9, 2023 11:00 AM"
https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-017-1984-2,A biological network-based regularized artificial neural network model for robust phenotype prediction from gene expression data,phenotype prediction from gene expression data,mRNA (gene expression),Bulk,"Gene sets, Genes, Pathways",VNN (dense),active,"attribution, global, hidden semantics",,"connection-weights, prior knowledge",StringDB,"GPU (<13 GB), Unspecified","<50, >100 & < 200",< 50000,Directly interpretable. Investigated carefully effects of regularization.,Not much attention on interpretation. The authors selected the top connections with heighest weight in a CV but did they normalize after each layer?,Interpretability through bootstrapping,"connection-weight, prior-knowledge",,"February 9, 2023 10:58 AM"
https://academic.oup.com/bioinformatics/article/37/12/1772/5919581,Varmole: a biologically drop-connect deep neural network model for prioritizing disease risk variants and genes,"Interpretable model for phenotype prediction, applied to among others schizophrenia","SNPs, mRNA (gene expression)",Bulk,Genes,"ANN, VNN (dense)",active,"attribution, semi-local",Integrated gradients,integrated gradients,,"CPU, Unspecified",>1000 & <5000,< 500 000,Dropconnect and L1 penalty to add sparsity. Gene regulatory networks and eQTL as prior knowledge in the first layer,"Integrated gradients, hidden layers after using prior knowledge makes interpretation harder.",,"integrated gradients, prior-knowledge",,"February 16, 2023 2:12 PM"
https://arxiv.org/abs/1906.00537,Incorporating Biological Knowledge with Factor Graph Neural Network for Interpretable Deep Learning,Build a transparent Factor Graph Neural Network,mRNA (gene expression),Bulk,annotations,Factor Graph Neural Network,active,"attribution, global",,"attention, prior knowledge",Gene-Onthology,Unspecified,>200 & <500,< 10000,attention mechanism to assign weights to connections between different layers → not as limited to prior knowledge?,very low prediction performances; no biological interpretation of recovered pathways,FGNN “generalizes the Graph Convolutional Network”,"Attention, prior-knowledge",,"February 9, 2023 10:48 AM"
https://www.nature.com/articles/s41540-022-00218-9,Deep neural network prediction of genome-wide transcriptome signatures – beyond the Black-box,Predict gene expression from transcription factors,mRNA (gene expression),Bulk,Genes,ANN,passive,"attribution, local",,perturbation,,Unspecified,>100 000 & < 200 000,< 1000,"good validation: perturbation results compared to real interaction values; perturbation captures not only magnitude, but also direction of interaction (activator, inhibitor)!",Perturbation of hidden nodes: arbitrary number of genes (500) were taken into account for downstream analyses,Perturbation = “light-up” analysis; . Dwivedi et al. (2020),perturbation,,"February 9, 2023 10:43 AM"
https://onlinelibrary.wiley.com/doi/epdf/10.1002/gepi.20345 (2008),A Comparison of Analytical Methods for Genetic Association Studies,Compare performance of machine learning methods for epistasis detection,mRNA (gene expression),Bulk,"Genes, SNPs",ANN,active,"global, hidden semantics",,"connection-weights, other",,"CPU, Unspecified",>1000 & <5000,< 1000,"Evolutionary algorithm to create small sparse neural networks ",computationally very expensive,,connection-weight,,"February 9, 2023 10:36 AM"
https://www.nature.com/articles/s41514-021-00068-5,Modeling transcriptomic age using knowledge-primed artificial neural networks,predict age from gene expression with visible neural networks,mRNA (gene expression),Bulk,Pathways,"ANN, VNN (dense)",active,"attribution, global, hidden semantics",,"perturbation, prior knowledge",Hallmark (MSigDB),Unspecified,>500 & <1000,< 1 mil,improved performance and stability by ensemble of visible neural networks,"ensemble is less interpretable:” Based on our data, this suggests
that there is a small trade-off between transparency and precision, albeit at a rate that might well be tolerable in practice” ","correlation analysis of
the intermediate neuron outputs with the actual ages. in-silico knockout of genes (pertubation) to estimate the effects. MSE of output neurons and pathway neurons in the loss.","other, perturbation",,"February 9, 2023 10:32 AM"
https://arxiv.org/abs/1801.06202,A graph-embedded deep feedforward network for disease outcome classification and feature selection using gene expression data,Predict cancer,mRNA (gene expression),Bulk,Genes,ANN,passive,"attribution, global, local",,"perturbation, prior knowledge",Gene-Onthology,Unspecified,>500 & <1000,< 10000,"Includes prior knowledge to limit parameters, but also uses dense layers for good classification accuracy",only limited prior knowledge can be used (→ only one sparse layer!),,"perturbation, prior-knowledge",,"February 16, 2023 2:37 PM"
https://www.nature.com/articles/s41467-021-25534-2,Learning interpretable cellular and gene signature embeddings from single-cell transcriptomic data,Learn an interpretable embeddding for multiple scRNA-seq datasets,sc-transcriptomics,Single-cell,"Genes, Pathways",VAE,active,"attribution, global, hidden semantics",,"other, prior knowledge",Gene-Onthology,"CPU (hpc), GPU (>13 GB)",>100 000 & < 200 000,< 100 000,"Implemented strong baselines, showed transfer learning and interpretability.  A  linear decoder coupled with prior knowledge learns topic and gene embeddings",Requires 192 GB ram to train. UMAP still seems to do some heavy lifting (but the inclusion of genes and topics in the same embeddidng make it more interpretable),,prior-knowledge,,"February 8, 2023 12:20 PM"
https://www.biorxiv.org/content/10.1101/2021.01.28.428715v1,deepManReg: a deep manifold-regularized learning model for improving phenotype prediction from multi-modal data,Predict phenotypes from multi-modal data,"other, sc-transcriptomics",Single-cell,Genes,ANN,passive,"attribution, semi-local",Integrated gradients,backpropagation,,Unspecified,>1000 & <5000,< 1000,"uses cross-modal
manifolds to find similarity of features of different modalities",larger datasets include difficult hyperparameter optimisation (many parameter combinations),PATCH-seq: transcriptomics and electrophysiology,integrated gradients,,"February 8, 2023 12:11 PM"
https://www.sciencedirect.com/science/article/pii/S2001037021001793,DeepOmix: A scalable and interpretable multi-omics deep learning framework and application in cancer survival analysis,multi-omics cancer survival analysis,"CNV, CpGs (methylation), SNV, mRNA (gene expression)",Bulk,"Genes, Pathways","ANN, VNN (dense)",active,"attribution, global, hidden semantics",,"connection-weights, other, prior knowledge","KEGG, Reactome",Unspecified,>200 & <500,< 50000,"Combines multi-omics data. Combines functional layer (Kegg, reactome) with hidden layers.  Uses Kolmogorov-Smirnov test to find significant pathways",Interpretation of the network is not really tested.,,"KEGG, connection-weight, prior-knowledge, reactome",,"February 16, 2023 2:12 PM"
https://pubmed.ncbi.nlm.nih.gov/35783280/,Path-ATT-CNN: A Novel Deep Neural Network Method for Key Pathway Identification of Lung Cancer,Identifying pathways for long cancer,mRNA (gene expression),Bulk,"Genes, Pathways",Convolutional Neural Network (CNN),active,"attribution, hidden semantics, semi-local",GradCAM,"attention, backpropagation, other, prior knowledge",Own data,Unspecified,>200 & <500,< 10000,Uses X-Grad-CAM to obtain importance scores (supposedly better than GradCam),Not clearly written. PCA to obtain the pathway image reduces details in the input data.,I might have misunderstood some detailbe because of a language barrier,"other, prior-knowledge",,"February 16, 2023 2:12 PM"
https://www.biorxiv.org/content/10.1101/2022.01.18.476842v1,Deep learning based on multi-omics integration identifies potential therapeutic targets in breast cancer,Use multi-omics to predict mortality & stratify breast cancer patients,"CNV, CpGs (methylation), SNV, mRNA (gene expression), miRNA, proteome",Bulk,Genes,AE,passive,"attribution, global",,"connection-weights, other",,Unspecified,>200 & <500,< 50000,Uses many omics entities; clusters according to survival; ranks feature importances across modalities,"The choice of employed explanability method is not described, but would be interesting. Benefits to other (newer) methosd?","“Olden’s approach” - Olden, J.D., Joy, M.K., Death, R.G. 2004. An accurate comparison of methods for quantifying variable importance in artificial neural networks using simulated data. Ecological Modelling. 178:389-397.",connection-weight,,"February 8, 2023 11:47 AM"
https://academic.oup.com/nargab/article/2/1/lqaa011/5742219,An interpretable low-complexity machine learning framework for robust exome-based in - silico diagnosis of Crohn’s disease patients,Diagnosis of Crohn’s diseae,WES,Bulk,Genes,ANN,passive,"attribution, global",,"connection-weights, other",,Unspecified,>100 & < 200,< 1000,interesting strategy to encode WES information and everything associated to it in one input vector with multiple dimensions per gene,"Shallow and few nodes → sufficient to model signal? ","just sum up connection-weights ",connection-weight,,"February 16, 2023 2:39 PM"
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8584109/,"Classification and Functional Analysis between Cancer and
Normal Tissues Using Explainable Pathway Deep Learning
through RNA-Sequencing Gene Expression",Distinguish cancer from normal tissue,mRNA (gene expression),Bulk,"Genes, Pathways, annotations",ANN,active,"attribution, global",,"connection-weights, prior knowledge","Gene-Onthology, KEGG, Reactome",Unspecified,>10 000 & <50 000,< 100 000,Compared many pathway databases for prior knowledge,"all reported performances are incredibly high, even when using random genes → model overfitted?",,"connection-weight, prior-knowledge",,"February 8, 2023 11:34 AM"
https://academic.oup.com/bioinformatics/advance-article/doi/10.1093/bioinformatics/btac696/6769889,DeepPerVar: a multi-modal deep learning framework for functional interpretation of genetic variants in personal genome,"Predict genome-wide epigenetic signals and evaluate the functional
consequence of non-coding variants","ChIP-seq, CpGs (methylation), WGS",Bulk,other,"Convolutional Neural Network (CNN), LSTM (convolutional)",active,"hidden semantics, local",,other,,Unspecified,unspecified,< 10000,"Multi-model approach of predicting epigentic motfis. Uses paired data.  ",Very limited in terms of interpretation. Compares output of first conv filters with known human motifs with Tomtom (gupta et al. 2007),,other,,"February 16, 2023 2:35 PM"
https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02100-5,Knowledge-primed neural networks enable biologically interpretable deep learning on single-cell sequencing data,Create an interpetatble neural network,"mRNA (gene expression), sc-transcriptomics",Single-cell,Genes,VNN (dense),active,"attribution, global, hidden semantics",,"connection-weights, prior knowledge",ENCODE,Unspecified,">1000 & <5000, >200 000 & < 500 000",< 50000,Uses dropout and input dropout to improve interpretability. Also evaluates the importance of the node localtion/connectivity in the networks architecture by comparing to a the same node in the same architecture trained on simulated data,Improved accuracy of the interpretation by weights but did not complement this with other methods to obtain more insights in differences between individuals etc,input size unspecified?,"connection-weight, prior-knowledge",,"February 16, 2023 2:13 PM"
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9481367/pdf/JO2022-2965166.pdf,A Deep Neural Network for Gastric Cancer Prognosis Prediction Based on Biological Information Pathways,Gastric Cancer Prognosis Prediction with multi-omics data,"CNV, SNV",Bulk,"Genes, Pathways",VNN (dense),passive,"attribution, global, hidden semantics",DeepLIFT,prior knowledge,Reactome,"GPU (<13 GB), Unspecified",>200 & <500,< 50000,"A variant on P-net, with sankey diagram. Multi-omics data",only CNV and somatic mutations (P-net has more). No new additions.,,"prior-knowledge, reactome",,"February 16, 2023 2:35 PM"
https://pubmed.ncbi.nlm.nih.gov/10371154/,Analysis of gene expression data using self-organizing maps,Visualise and analyse expression microarray data,mRNA (gene expression),Bulk,Genes,Self-organising maps (SOM),active,"global, hidden semantics",,"visualisation, visualize embedding",,Unspecified,>5000 & <10 000,< 10000,Avant-garde work; doesn’t only group according to expression pattern but also functional relation,Suffers from lack of knowledge for most genes - only few can be interpreted biologically per derived cluster; not clear if group according to biological function or correlation pattern,,,,"February 8, 2023 11:06 AM"
https://ieeexplore.ieee.org/document/4272033,2D and 3D Neural-Network Based Visualization of High-Dimensional Biomedical Data,Extend visualisation into 3rd dimension with SOM,"mRNA (gene expression), miRNA",Bulk,Genes,Self-organising maps (SOM),active,"global, hidden semantics",,"visualisation, visualize embedding",,Unspecified,>5000 & <10 000,< 50000,higher resolution; interactive; scales well with input dimensions,can not capture more complex interactions,,,,"February 8, 2023 10:48 AM"
https://www.biorxiv.org/content/10.1101/2021.01.22.427799v2.full.pdf,REM: An Integrative Rule Extraction Methodology for Explainable Data Analysis in Healthcare,Extract rule set from neural network,"SNPs, mRNA (gene expression)",Bulk,"Genes, Pathways",ANN,passive,"active, rule",C5.0,"other, prior knowledge, visualisation",,"CPU, CPU (hpc)",>1000 & <5000,< 1000,"Ruleset, thus noise removal, no unexpected outcomes.","Rules set has a reduced accuracy, thus does not capture the whole model.",,"other, prior-knowledge",,"February 16, 2023 2:36 PM"
https://pubmed.ncbi.nlm.nih.gov/36217547/,Deep learning explains the biology of branched glycans from single-cell sequencing data,Predict glycan phenotypes of cells,"other, sc-transcriptomics",Single-cell,Genes,ANN,passive,"attribution, local",SHAP,game theory,,Unspecified,unspecified,< 10000,accounted for inherent randomness during model construction by averaging SHAP of 3 replicates; comparison to DEG & permutation,arbitrary cut-off of top 10% of SHAP values for further analysis,,SHAP,,"February 16, 2023 2:14 PM"
https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1009754,Multi-scale inference of genetic trait architecture using biologically annotated neural networks,predict phenotypes using interpretable neural networks (BANNs),SNPs,Bulk,Genes,VNN (dense),active,"attribution, global, hidden semantics",,prior knowledge,RefSeq,Unspecified,>5000 & <10 000,< 500 000,"Bayesian neural network, thus a distribution over the weights. Large input space, implemented in tensorflow, numpy and R","Only gene information, very limited depth.",,prior-knowledge,,"February 6, 2023 2:00 PM"
https://arxiv.org/ftp/arxiv/papers/2109/2109.14719.pdf,"Deep neural networks with controlled variable selection for the identification of putative causal
genetic variants",Interpretable neural network with knockoff for finding putative genes,WGS,Bulk,SNPs,ANN,active,"attribution, global",Other,backpropagation,,Unspecified,>10 000 & <50 000,< 50000,"Knockoff, hierarchical structure for more efficient architecture.",An extra input for each input is computationally inefficient. Only gradient is used for importance,,other,,"February 16, 2023 2:13 PM"
https://link.springer.com/content/pdf/10.1007/s12031-019-01311-1.pdf,"Application of Single-Nucleotide Polymorphisms in the Diagnosis
of Autism Spectrum Disorders: A Preliminary Study with Artificial
Neural Networks",Neural network to predict autism,SNPs,Bulk,SNPs,ANN,passive,"attribution, local",LIME,perturbation,,Unspecified,>500 & <1000,< 1000,Simple small standard neural network,"only uses 15 associated SNPs, does not compare to other methods. Cross validation without test set.",,LIME,,"February 6, 2023 1:38 PM"
https://pubmed.ncbi.nlm.nih.gov/32974946/,Genome-wide association study-based deep learning for survival prediction,Neural network for predicting age-related macular degeneration survival,SNPs,Bulk,SNPs,ANN,passive,"attribution, local",LIME,perturbation,,"CPU, GPU (<13 GB)",>1000 & <5000,< 10000,"Adapted LIME for survivial (1000 features perturbed, fit linear regression between input and output of model, rank absolute coeffcients). Identify subgroups",Relativly small number of input SNPs (max 1500),,"LIME, perturbation",,"February 6, 2023 1:36 PM"
https://pubmed.ncbi.nlm.nih.gov/32872133/,Fully-Connected Neural Networks with Reduced Parameterization for Predicting Histological Types of Lung Cancer from Somatic Mutations,Predicting lung cancer types,SNV,Bulk,Genes,ANN,passive,"global, hidden semantics",,"other, visualize embedding",,Unspecified,>1000 & <5000,< 50000,"Diet networks do not need backpropogation so it is easier to make large networks. ","The diet networks only had 2 million parameters, so was the diet network used in it’s strenght? Would be nice to see how big equivalent network would be. Learning curve seems flat. It was unclear how they chose their hyperparameters.",Used principle component analysis (PCA) on the embedding of the additional networks. Since they receive an transposed input the latent space is filled with genes.,other,,"February 16, 2023 2:36 PM"
https://arxiv.org/abs/1909.04169,OncoNetExplainer: Explainable Predictions of Cancer Types Based on Gene Expression Data,Explainable prediction of cancer type,mRNA (gene expression),Bulk,Genes,VNN (CNN),passive,"attribution, local","GradCAM, SHAP","backpropagation, game theory",,GPU (<13 GB),>5000 & <10 000,< 50000,"comparison / validation using 2 explainability approaches and models (however, results do not overlap)",GradCam 2D heatmaps of gene expression very difficult to interpret,They use 2 different setups: CNN+GradCam and Gradient Boosted Trees + SHAP and identified biomarkers don’t overlap at all!!,"GradCAM, SHAP",,"February 6, 2023 1:23 PM"
https://www.sciencedirect.com/science/article/pii/S1046202321000165,Prediction and interpretation of cancer survival using graph convolution neural networks,Predict cancer survival rates,"clinical, mRNA (gene expression)",Bulk,Genes,Graph Convolutional Network (GCN),active,"attribution, local",,"connection-weights, other, prior knowledge",GeneMania,Unspecified,>5000 & <10 000,< 50000,graph enables expansion of analysis to associated genes (network module-based analysis),adding up weights not most accurate; limited by prior knowledge of graph construction,,"connection-weight, prior-knowledge",,"February 6, 2023 1:17 PM"
https://hal.archives-ouvertes.fr/hal-03119399/document,Using Feature Selection and Ensemble Algorithms for Sophisticated Pancreatic Cancer Diagnosis,Pancreatic cancer diagnosis,miRNA,Bulk,miRNA,ANN,passive,"attribution, local",SHAP,game theory,,Unspecified,>500 & <1000,< 1000,employed different models and interpretability methods,explainability results derived by SHAP and LIME barely overlap,explainability results derived by SHAP and LIME barely overlap,SHAP,,"February 16, 2023 2:36 PM"
https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02681-3#Abs1,Identifying common transcriptome signatures of cancer by interpreting deep learning models,Predict cancer,"mRNA (gene expression), other",Bulk,Genes,"AE, ANN",passive,"attribution, semi-local",Integrated gradients,backpropagation,,Unspecified,>10 000 & <50 000,< 50000,"can conduct FDR calculation; gives direction of effect (positive influence, negative influence)",needs baseline model to compare to; direction of effect not easily relatable to effect on gene expression (high attribution is not elevated expression),,integrated gradients,,"February 6, 2023 1:13 PM"
"https://arxiv.org/abs/1912.08937#:~:text=version%2C%20v3)%5D-,Pathomic%20Fusion%3A%20An%20Integrated%20Framework%20for%20Fusing%20Histopathology%20and%20Genomic,for%20Cancer%20Diagnosis%20and%20Prognosis&text=Cancer%20diagnosis%2C%20prognosis%2C%20and%20therapeutic,molecular%20profiles%20from%20genomic%20data.",Pathomic Fusion: An Integrated Framework for Fusing Histopathology and Genomic Features for Cancer Diagnosis and Prognosis,Predict cancer survival rates,"CNV, SNV, mRNA (gene expression), other",Bulk,Genes,"Graph Convolutional Network (GCN), VNN (CNN)",passive,"attribution, semi-local",Integrated gradients,backpropagation,,GPU (>13 GB),>500 & <1000,unspecified,Very fancy approach of learning  morphometric cell features from histology images with GCN; special effort merging multimodal entities,very complex framework (but git seems to be well maintained!),,integrated gradients,,"February 16, 2023 2:39 PM"
https://www.biorxiv.org/content/10.1101/2022.05.03.490535v1,Principled feature attribution for unsupervised gene expression analysis,Build explainable sparse autoencoder (mix of post-hoc and direct explainability approaches),"mRNA (gene expression), sc-transcriptomics","Bulk, Single-cell",Genes,AE (sparse),"active, passive","attribution, hidden semantics, local","Integrated gradients, SHAP","backpropagation, game theory, prior knowledge",Reactome,Unspecified,">10 000 & <50 000, >5000 & <10 000",< 10000,addresses many problems of interpretable autoencoders (e.g. lack of estimation of variance captured by latent features); give more detailed info on which genes are important in activated pathways,"“Unsupervised pathway attributions do not always capture all pathways that differ significantly between two groups of interest, if those pathways do not represent major sources of expression variation”",highlights (and addresses) problems of “traditional” visible/spares AE,"SHAP, integrated gradients",,"February 6, 2023 1:04 PM"
https://europepmc.org/article/ppr/ppr415059,DeepMAPS: Single-cell biological network inference using heterogeneous graph transformer,Biological network inference from single-cell multi-omics,sc-transcriptomics,Single-cell,Gene sets,"AE, Graph Convolutional Network (GCN)",active,"attribution, local",,attention,,GPU (>13 GB),>1000 & <5000,< 50000,"multi-omics integration, available online on webserver. Can generate gene association networks","Not deterministic thus reproducibility over multiple runs may be an issue, computationally costly.",,Attention,,"February 16, 2023 2:12 PM"
https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-019-2957-4,Visualizing complex feature interactions and feature sharing in genomic deep neural networks,Visualize how input features interact and contribute in genomic deep learning,other,Bulk,other,Convolutional Neural Network (CNN),passive,"attribution, global, hidden semantics",Other,backpropagation,,Unspecified,>100 000 & < 200 000,< 1000,allows for negative values for relus where deeplift does not. Finds candidatates for ‘addative’ and non-addative interactions,"The method seems to only use gradient ascent, thus less informative for the input space than methods such as DeepLift",propose Deepresolve to interpret neural networks using gradient ascent. They improve interpertation by allowing negative values (in case of relus) where deeplift does not,other,,"February 16, 2023 2:13 PM"
https://pubmed.ncbi.nlm.nih.gov/34296082/,DeepCOMBI: explainable artificial intelligence for the analysis and discovery in genome-wide association studies,GWAS with DL,"SNPs, genotype",Bulk,SNPs,ANN,passive,"attribution, semi-local",LRP (Layerwise Relevance Propagation),backpropagation,,Unspecified,">10 000 & <50 000, >200 & <500",< 50000,Applies statistical test (for multiplicity) after selecting important input features with LRP. Finds new signification associations for T1D and hypertension,"selects input SNPs with p-values, 2 layer deep neural network with ReLu. Chromosome-wise. Model did not finish learning (validation loss was still decreasing)",,"backpropagation, other",,"February 16, 2023 2:13 PM"
https://pubmed.ncbi.nlm.nih.gov/33305308/,ECMarker: interpretable machine learning model identifies gene expression biomarkers predicting clinical outcomes and reveals molecular mechanisms of human disease in early stages,Biomarker discovery for early stage disease diagnosis,mRNA (gene expression),Bulk,Genes,ANN,passive,"attribution, semi-local",Integrated gradients,backpropagation,,Unspecified,>1000 & <5000,unspecified,allows lateral connections of input and can therefore derive gene-gene interaction networks important for predictions,scalability and extension of framework unclear?,,integrated gradients,,"February 3, 2023 2:10 PM"
https://academic.oup.com/bib/article/23/3/bbac117/6563414?login=false,Differentially expressed genes prediction by multiple self-attention on epigenetics data,Predict differently expressed genes from methylation and HM,"ChIP-seq, CpGs (methylation)",Bulk,Genes,ANN,active,"attribution, local",,attention,,GPU (>13 GB),>10 000 & <50 000,< 10000,Good parameter optimization. Can compare the current position with all positions without large input size using attention.,"Really long range interactions are not taken in account, no 3d information.",,Attention,,"February 16, 2023 2:13 PM"
https://pubmed.ncbi.nlm.nih.gov/34890164/,Multi-Omic Graph Transformers for Cancer Classification and Interpretation,"Graph transfromer network for cancer prediction from MiRNA and mRNA ","mRNA (gene expression), miRNA",Bulk,Genes,"Graph Convolutional Network (GCN), Transformer",active,"attribution, local",,attention,,Unspecified,>500 & <1000,< 1000,"Pathway and molecule attention, multi-omic (mRNA, miRNA)","Out of 1,256 miRNAs and
20,502 mRNAs only 168 miRNA and 379 mRNA inputs are used in the graph.",weights of the last GTL layer aare used as a measure of importance (normalized by number of edges). Implemented on Google Colab but not shared?,Attention,,"February 3, 2023 1:53 PM"
https://www.nature.com/articles/s42256-021-00325-y,Integration of multiomics data with graph convolutional networks to identify new cancer genes and their associated molecular mechanisms,GCN for cancer prediction from multi-omics data,"CNV, CpGs (methylation), SNV, mRNA (gene expression)",Bulk,Genes,Graph Convolutional Network (GCN),passive,"attribution, semi-local",LRP (Layerwise Relevance Propagation),backpropagation,,Unspecified,>5000 & <10 000,< 50000,Used LRP and subnetworks to identify important genes,Only looks at gene level and higher,,backpropagation,,"February 3, 2023 1:42 PM"
https://www.biorxiv.org/content/10.1101/2021.12.27.474240v1.full.pdf,Network-guided supervised learning on gene expression using a graph convolutional neural network,"Propose GrandLine, a GCN that uses spectral convolutions to predict phenotypes for gene expression data",mRNA (gene expression),Bulk,"Gene sets, Genes",Graph Convolutional Network (GCN),passive,"attribution, local",GradCAM,backpropagation,,Unspecified,>500 & <1000,< 50000,"Can identify subnetworks with GradCam. Uses STRING database, uses less trainable parameters than a standard DNN","arbitrary cut-off for visualization, effectiveness of GradCam hard to judge but works in the simple example.",adapted GradCam to the spectral domain.,GradCAM,,"February 16, 2023 2:12 PM"
https://academic.oup.com/bioinformatics/article-abstract/38/8/2178/6528315?redirectedFrom=fulltext,Multi-level attention graph neural network based on co-expression gene modules for disease diagnosis and prognosis,multi-level attention graph neural network for disease prediction,mRNA (gene expression),Bulk,"Genes, Pathways",Graph Network,active,"attribution, local",,"attention, backpropagation",,Unspecified,"<50, >500 & <1000",< 1000,Developed a full-gradient graph saliency (FGS) mechanism to highlight disease-relevant genes and pathways.,Co-expression (edges) are defined by a simple threshold that is optimized for all genes at the same time. Only a small number (~200) of the total features is used (~20 000). They did not test interpretation with simulations.,Proposes Full-gradient graph saliency (FGS) for interpretation,Attention,,"February 16, 2023 2:12 PM"
