Name,Year,Title,Research question,Data type,Bulk/single cell,Which level,Model architecture," Passive vs. Active Approaches",Taxonomy (Table 3. Zhan et al),Post-hoc interpretation method,Interpretation strategy,Prior knowledge,Computational resources used,Sample size,Inputsize,handpicked,Advantage,Disadvantage,Notes
https://www.nature.com/articles/s41540-022-00218-9,2022,Deep neural network prediction of genome-wide transcriptome signatures – beyond the Black-box,Predict gene expression from transcription factors,mRNA (gene expression),Bulk,Genes,ANN,passive,"attribution, local",,perturbation,,Unspecified,>100 000 & < 200 000,< 1000,No,"good validation: perturbation results compared to real interaction values; perturbation captures not only magnitude, but also direction of interaction (activator, inhibitor)!",Perturbation of hidden nodes: arbitrary number of genes (500) were taken into account for downstream analyses,Perturbation = “light-up” analysis; . Dwivedi et al. (2020)
https://onlinelibrary.wiley.com/doi/epdf/10.1002/gepi.20345 (2008),2008,A Comparison of Analytical Methods for Genetic Association Studies,Compare performance of machine learning methods for epistasis detection,mRNA (gene expression),Bulk,"Genes, SNPs",ANN,active,"global, hidden semantics",,"connection-weights, other",,"CPU, Unspecified",>1000 & <5000,< 1000,No,"Evolutionary algorithm to create small sparse neural networks ",computationally very expensive,
https://www.nature.com/articles/s41514-021-00068-5,2021,Modeling transcriptomic age using knowledge-primed artificial neural networks,predict age from gene expression with visible neural networks,mRNA (gene expression),Bulk,Pathways,"ANN, VNN (dense)",active,"attribution, global, hidden semantics",,"perturbation, prior knowledge",Hallmark (MSigDB),Unspecified,>500 & <1000,< 1 mil,No,improved performance and stability by ensemble of visible neural networks,"ensemble is less interpretable:” Based on our data, this suggests
that there is a small trade-off between transparency and precision, albeit at a rate that might well be tolerable in practice” ","correlation analysis of
the intermediate neuron outputs with the actual ages. in-silico knockout of genes (pertubation) to estimate the effects. MSE of output neurons and pathway neurons in the loss."
https://arxiv.org/abs/1801.06202,2018,A graph-embedded deep feedforward network for disease outcome classification and feature selection using gene expression data,Predict cancer,mRNA (gene expression),Bulk,Genes,ANN,passive,"attribution, global, local",,"perturbation, prior knowledge",Gene-Onthology,Unspecified,>500 & <1000,< 10000,No,"Includes prior knowledge to limit parameters, but also uses dense layers for good classification accuracy",only limited prior knowledge can be used (→ only one sparse layer!),
https://www.nature.com/articles/s41467-021-25534-2,2021,Learning interpretable cellular and gene signature embeddings from single-cell transcriptomic data,Learn an interpretable embeddding for multiple scRNA-seq datasets,sc-transcriptomics,Single-cell,"Genes, Pathways",VAE,active,"attribution, global, hidden semantics",,"other, prior knowledge",Gene-Onthology,"CPU (hpc), GPU (>13 GB)",>100 000 & < 200 000,< 100 000,No,"Implemented strong baselines, showed transfer learning and interpretability.  A  linear decoder coupled with prior knowledge learns topic and gene embeddings",Requires 192 GB ram to train. UMAP still seems to do some heavy lifting (but the inclusion of genes and topics in the same embeddidng make it more interpretable),
https://www.biorxiv.org/content/10.1101/2021.01.28.428715v1,2022,deepManReg: a deep manifold-regularized learning model for improving phenotype prediction from multi-modal data,Predict phenotypes from multi-modal data,"other, sc-transcriptomics",Single-cell,Genes,ANN,passive,"attribution, semi-local",Integrated gradients,gradient-based,,Unspecified,>1000 & <5000,< 1000,No,"uses cross-modal
manifolds to find similarity of features of different modalities",larger datasets include difficult hyperparameter optimisation (many parameter combinations),PATCH-seq: transcriptomics and electrophysiology
https://www.sciencedirect.com/science/article/pii/S2001037021001793,2021,DeepOmix: A scalable and interpretable multi-omics deep learning framework and application in cancer survival analysis,multi-omics cancer survival analysis,"CNV, CpGs (methylation), SNV, mRNA (gene expression)",Bulk,"Genes, Pathways","ANN, VNN (dense)",active,"attribution, global, hidden semantics",,"connection-weights, other, prior knowledge","KEGG, Reactome",Unspecified,>200 & <500,< 50000,No,"Combines multi-omics data. Combines functional layer (Kegg, reactome) with hidden layers.  Uses Kolmogorov-Smirnov test to find significant pathways",Interpretation of the network is not really tested.,
https://pubmed.ncbi.nlm.nih.gov/35783280/,2022,Path-ATT-CNN: A Novel Deep Neural Network Method for Key Pathway Identification of Lung Cancer,Identifying pathways for long cancer,mRNA (gene expression),Bulk,"Genes, Pathways",Convolutional Neural Network (CNN),"active, passive","attribution, hidden semantics, semi-local",GradCAM,"attention, gradient-based, other, prior knowledge",Own data,Unspecified,>200 & <500,< 10000,No,Uses X-Grad-CAM to obtain importance scores (supposedly better than GradCam),Not clearly written. PCA to obtain the pathway image reduces details in the input data.,I might have misunderstood some detailbe because of a language barrier
https://www.biorxiv.org/content/10.1101/2022.01.18.476842v1,2022,Deep learning based on multi-omics integration identifies potential therapeutic targets in breast cancer,Use multi-omics to predict mortality & stratify breast cancer patients,"CNV, CpGs (methylation), SNV, mRNA (gene expression), miRNA, proteome",Bulk,Genes,AE,passive,"attribution, global",,"connection-weights, other",,Unspecified,>200 & <500,< 50000,No,Uses many omics entities; clusters according to survival; ranks feature importances across modalities,"The choice of employed explanability method is not described, but would be interesting. Benefits to other (newer) methosd?","“Olden’s approach” - Olden, J.D., Joy, M.K., Death, R.G. 2004. An accurate comparison of methods for quantifying variable importance in artificial neural networks using simulated data. Ecological Modelling. 178:389-397."
https://academic.oup.com/nargab/article/2/1/lqaa011/5742219,2022,An interpretable low-complexity machine learning framework for robust exome-based in - silico diagnosis of Crohn’s disease patients,Diagnosis of Crohn’s diseae,WES,Bulk,Genes,ANN,passive,"attribution, global",,"connection-weights, other",,Unspecified,>100 & < 200,< 1000,No,interesting strategy to encode WES information and everything associated to it in one input vector with multiple dimensions per gene,"Shallow and few nodes → sufficient to model signal? ","just sum up connection-weights "
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8584109/,2021,"Classification and Functional Analysis between Cancer and
Normal Tissues Using Explainable Pathway Deep Learning
through RNA-Sequencing Gene Expression",Distinguish cancer from normal tissue,mRNA (gene expression),Bulk,"Genes, Pathways, annotations",ANN,active,"attribution, global",,"connection-weights, prior knowledge","Gene-Onthology, KEGG, Reactome",Unspecified,>10 000 & <50 000,< 100 000,No,Compared many pathway databases for prior knowledge,"all reported performances are incredibly high, even when using random genes → model overfitted?",
https://academic.oup.com/bioinformatics/advance-article/doi/10.1093/bioinformatics/btac696/6769889,2022,DeepPerVar: a multi-modal deep learning framework for functional interpretation of genetic variants in personal genome,"Predict genome-wide epigenetic signals and evaluate the functional
consequence of non-coding variants","ChIP-seq, CpGs (methylation), WGS",Bulk,other,"Convolutional Neural Network (CNN), LSTM (convolutional)",active,"hidden semantics, local",,other,,Unspecified,unspecified,< 10000,No,"Multi-model approach of predicting epigentic motfis. Uses paired data.  ",Very limited in terms of interpretation. Compares output of first conv filters with known human motifs with Tomtom (gupta et al. 2007),
https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02100-5,2022,Knowledge-primed neural networks enable biologically interpretable deep learning on single-cell sequencing data,Create an interpetatble neural network,"mRNA (gene expression), sc-transcriptomics",Single-cell,Genes,VNN (dense),active,"attribution, global, hidden semantics",,"connection-weights, prior knowledge",ENCODE,Unspecified,">1000 & <5000, >200 000 & < 500 000",< 50000,No,Uses dropout and input dropout to improve interpretability. Also evaluates the importance of the node localtion/connectivity in the networks architecture by comparing to a the same node in the same architecture trained on simulated data,Improved accuracy of the interpretation by weights but did not complement this with other methods to obtain more insights in differences between individuals etc,input size unspecified?
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9481367/pdf/JO2022-2965166.pdf,2022,A Deep Neural Network for Gastric Cancer Prognosis Prediction Based on Biological Information Pathways,Gastric Cancer Prognosis Prediction with multi-omics data,"CNV, SNV",Bulk,"Genes, Pathways",VNN (dense),passive,"attribution, global, hidden semantics",DeepLIFT,prior knowledge,Reactome,"GPU (<13 GB), Unspecified",>200 & <500,< 50000,No,"A variant on P-net, with sankey diagram. Multi-omics data",only CNV and somatic mutations (P-net has more). No new additions.,
https://pubmed.ncbi.nlm.nih.gov/10371154/,1999,Analysis of gene expression data using self-organizing maps,Visualise and analyse expression microarray data,mRNA (gene expression),Bulk,Genes,Self-organising maps (SOM),active,"global, hidden semantics",,"visualisation, visualize embedding",,Unspecified,>5000 & <10 000,< 10000,No,Avant-garde work; doesn’t only group according to expression pattern but also functional relation,Suffers from lack of knowledge for most genes - only few can be interpreted biologically per derived cluster; not clear if group according to biological function or correlation pattern,
https://ieeexplore.ieee.org/document/4272033,2007,2D and 3D Neural-Network Based Visualization of High-Dimensional Biomedical Data,Extend visualisation into 3rd dimension with SOM,"mRNA (gene expression), miRNA",Bulk,Genes,Self-organising maps (SOM),active,"global, hidden semantics",,"visualisation, visualize embedding",,Unspecified,>5000 & <10 000,< 50000,No,higher resolution; interactive; scales well with input dimensions,can not capture more complex interactions,
https://www.biorxiv.org/content/10.1101/2021.01.22.427799v2.full.pdf,2021,REM: An Integrative Rule Extraction Methodology for Explainable Data Analysis in Healthcare,Extract rule set from neural network,"SNPs, mRNA (gene expression)",Bulk,"Genes, Pathways",ANN,passive,"active, rule",C5.0,"other, visualisation",,"CPU, CPU (hpc)",>1000 & <5000,< 1000,No,"Ruleset, thus noise removal, no unexpected outcomes.","Rules set has a reduced accuracy, thus does not capture the whole model.",
https://pubmed.ncbi.nlm.nih.gov/36217547/,2022,Deep learning explains the biology of branched glycans from single-cell sequencing data,Predict glycan phenotypes of cells,"other, sc-transcriptomics",Single-cell,Genes,ANN,passive,"attribution, local",SHAP,game theory,,Unspecified,unspecified,< 10000,No,accounted for inherent randomness during model construction by averaging SHAP of 3 replicates; comparison to DEG & permutation,arbitrary cut-off of top 10% of SHAP values for further analysis,
https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1009754,2021,Multi-scale inference of genetic trait architecture using biologically annotated neural networks,predict phenotypes using interpretable neural networks (BANNs),SNPs,Bulk,Genes,VNN (dense),active,"attribution, global, hidden semantics",,prior knowledge,RefSeq,Unspecified,>5000 & <10 000,< 500 000,No,"Bayesian neural network, thus a distribution over the weights. Large input space, implemented in tensorflow, numpy and R","Only gene information, very limited depth.",
https://arxiv.org/ftp/arxiv/papers/2109/2109.14719.pdf,2022,"Deep neural networks with controlled variable selection for the identification of putative causal
genetic variants",Interpretable neural network with knockoff for finding putative genes,WGS,Bulk,SNPs,ANN,"active, passive","attribution, global",Other,gradient-based,,Unspecified,>10 000 & <50 000,< 50000,No,"Knockoff, hierarchical structure for more efficient architecture.",An extra input for each input is computationally inefficient. Only gradient is used for importance,
https://link.springer.com/content/pdf/10.1007/s12031-019-01311-1.pdf,2019,"Application of Single-Nucleotide Polymorphisms in the Diagnosis
of Autism Spectrum Disorders: A Preliminary Study with Artificial
Neural Networks",Neural network to predict autism,SNPs,Bulk,SNPs,ANN,passive,"attribution, local",LIME,perturbation,,Unspecified,>500 & <1000,< 1000,No,Simple small standard neural network,"only uses 15 associated SNPs, does not compare to other methods. Cross validation without test set.",
https://pubmed.ncbi.nlm.nih.gov/32974946/,2020,Genome-wide association study-based deep learning for survival prediction,Neural network for predicting age-related macular degeneration survival,SNPs,Bulk,SNPs,ANN,passive,"attribution, local",LIME,perturbation,,"CPU, GPU (<13 GB)",>1000 & <5000,< 10000,No,"Adapted LIME for survivial (1000 features perturbed, fit linear regression between input and output of model, rank absolute coeffcients). Identify subgroups",Relativly small number of input SNPs (max 1500),
https://pubmed.ncbi.nlm.nih.gov/32872133/,2020,Fully-Connected Neural Networks with Reduced Parameterization for Predicting Histological Types of Lung Cancer from Somatic Mutations,Predicting lung cancer types,SNV,Bulk,Genes,ANN,passive,"global, hidden semantics",,"other, visualize embedding",,Unspecified,>1000 & <5000,< 50000,No,"Diet networks do not need backpropogation so it is easier to make large networks. ","The diet networks only had 2 million parameters, so was the diet network used in it’s strenght? Would be nice to see how big equivalent network would be. Learning curve seems flat. It was unclear how they chose their hyperparameters.",Used principle component analysis (PCA) on the embedding of the additional networks. Since they receive an transposed input the latent space is filled with genes.
https://arxiv.org/abs/1909.04169,2019,OncoNetExplainer: Explainable Predictions of Cancer Types Based on Gene Expression Data,Explainable prediction of cancer type,mRNA (gene expression),Bulk,Genes,VNN (CNN),passive,"attribution, local","GradCAM, SHAP","game theory, gradient-based",,GPU (<13 GB),>5000 & <10 000,< 50000,No,"comparison / validation using 2 explainability approaches and models (however, results do not overlap)",GradCam 2D heatmaps of gene expression very difficult to interpret,They use 2 different setups: CNN+GradCam and Gradient Boosted Trees + SHAP and identified biomarkers don’t overlap at all!!
https://www.sciencedirect.com/science/article/pii/S1046202321000165,2021,Prediction and interpretation of cancer survival using graph convolution neural networks,Predict cancer survival rates,"clinical, mRNA (gene expression)",Bulk,Genes,Graph Convolutional Network (GCN),active,"attribution, local",,"connection-weights, other, prior knowledge",GeneMania,Unspecified,>5000 & <10 000,< 50000,No,graph enables expansion of analysis to associated genes (network module-based analysis),adding up weights not most accurate; limited by prior knowledge of graph construction,
https://hal.archives-ouvertes.fr/hal-03119399/document,2021,Using Feature Selection and Ensemble Algorithms for Sophisticated Pancreatic Cancer Diagnosis,Pancreatic cancer diagnosis,miRNA,Bulk,miRNA,ANN,passive,"attribution, local",SHAP,game theory,,Unspecified,>500 & <1000,< 1000,No,employed different models and interpretability methods,explainability results derived by SHAP and LIME barely overlap,explainability results derived by SHAP and LIME barely overlap
https://genomebiology.biomedcentral.com/articles/10.1186/s13059-022-02681-3#Abs1,2022,Identifying common transcriptome signatures of cancer by interpreting deep learning models,Predict cancer,"mRNA (gene expression), other",Bulk,Genes,"AE, ANN",passive,"attribution, semi-local",Integrated gradients,gradient-based,,Unspecified,>10 000 & <50 000,< 50000,No,"can conduct FDR calculation; gives direction of effect (positive influence, negative influence)",needs baseline model to compare to; direction of effect not easily relatable to effect on gene expression (high attribution is not elevated expression),
"https://arxiv.org/abs/1912.08937#:~:text=version%2C%20v3)%5D-,Pathomic%20Fusion%3A%20An%20Integrated%20Framework%20for%20Fusing%20Histopathology%20and%20Genomic,for%20Cancer%20Diagnosis%20and%20Prognosis&text=Cancer%20diagnosis%2C%20prognosis%2C%20and%20therapeutic,molecular%20profiles%20from%20genomic%20data.",2020,Pathomic Fusion: An Integrated Framework for Fusing Histopathology and Genomic Features for Cancer Diagnosis and Prognosis,Predict cancer survival rates,"CNV, SNV, mRNA (gene expression), other",Bulk,Genes,"Graph Convolutional Network (GCN), VNN (CNN)",passive,"attribution, semi-local",Integrated gradients,gradient-based,,GPU (>13 GB),>500 & <1000,unspecified,No,Very fancy approach of learning  morphometric cell features from histology images with GCN; special effort merging multimodal entities,very complex framework (but git seems to be well maintained!),
https://www.biorxiv.org/content/10.1101/2022.05.03.490535v1,2022,Principled feature attribution for unsupervised gene expression analysis,Build explainable sparse autoencoder (mix of post-hoc and direct explainability approaches),"mRNA (gene expression), sc-transcriptomics","Bulk, Single-cell",Genes,AE (sparse),"active, passive","attribution, hidden semantics, local","Integrated gradients, SHAP","game theory, gradient-based, prior knowledge",Reactome,Unspecified,">10 000 & <50 000, >5000 & <10 000",< 10000,Yes,addresses many problems of interpretable autoencoders (e.g. lack of estimation of variance captured by latent features); give more detailed info on which genes are important in activated pathways,"“Unsupervised pathway attributions do not always capture all pathways that differ significantly between two groups of interest, if those pathways do not represent major sources of expression variation”",highlights (and addresses) problems of “traditional” visible/spares AE
https://europepmc.org/article/ppr/ppr415059,2021,DeepMAPS: Single-cell biological network inference using heterogeneous graph transformer,Biological network inference from single-cell multi-omics,"sc-ATAC, sc-transcriptomics",Single-cell,Gene sets,"AE, Graph Convolutional Network (GCN)",passive,"attribution, local",,attention,,GPU (>13 GB),>1000 & <5000,< 50000,No,"multi-omics integration, available online on webserver. Can generate gene association networks","Not deterministic thus reproducibility over multiple runs may be an issue, computationally costly.",
https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-019-2957-4,2019,Visualizing complex feature interactions and feature sharing in genomic deep neural networks,Visualize how input features interact and contribute in genomic deep learning,other,Bulk,other,Convolutional Neural Network (CNN),passive,"attribution, global, hidden semantics",Other,gradient-based,,Unspecified,>100 000 & < 200 000,< 1000,No,allows for negative values for relus where deeplift does not. Finds candidatates for ‘addative’ and non-addative interactions,"The method seems to only use gradient ascent, thus less informative for the input space than methods such as DeepLift",propose Deepresolve to interpret neural networks using gradient ascent. They improve interpertation by allowing negative values (in case of relus) where deeplift does not
https://pubmed.ncbi.nlm.nih.gov/34296082/,2021,DeepCOMBI: explainable artificial intelligence for the analysis and discovery in genome-wide association studies,GWAS with DL,SNPs,Bulk,SNPs,ANN,passive,"attribution, semi-local",LRP (Layerwise Relevance Propagation),"connection-weights, rule-based propagation",,Unspecified,">10 000 & <50 000, >200 & <500",< 50000,No,Applies statistical test (for multiplicity) after selecting important input features with LRP. Finds new signification associations for T1D and hypertension,"selects input SNPs with p-values, 2 layer deep neural network with ReLu. Chromosome-wise. Model did not finish learning (validation loss was still decreasing)",
https://pubmed.ncbi.nlm.nih.gov/33305308/,2021,ECMarker: interpretable machine learning model identifies gene expression biomarkers predicting clinical outcomes and reveals molecular mechanisms of human disease in early stages,Biomarker discovery for early stage disease diagnosis,mRNA (gene expression),Bulk,Genes,ANN,passive,"attribution, semi-local",Integrated gradients,gradient-based,,Unspecified,>1000 & <5000,unspecified,No,allows lateral connections of input and can therefore derive gene-gene interaction networks important for predictions,scalability and extension of framework unclear?,
https://academic.oup.com/bib/article/23/3/bbac117/6563414?login=false,2022,Differentially expressed genes prediction by multiple self-attention on epigenetics data,Predict differently expressed genes from methylation and HM,"ChIP-seq, CpGs (methylation)",Bulk,Genes,ANN,passive,"attribution, local",,attention,,GPU (>13 GB),>10 000 & <50 000,< 10000,No,Good parameter optimization. Can compare the current position with all positions without large input size using attention.,"Really long range interactions are not taken in account, no 3d information.",
https://pubmed.ncbi.nlm.nih.gov/34890164/,2022,Multi-Omic Graph Transformers for Cancer Classification and Interpretation,"Graph transfromer network for cancer prediction from MiRNA and mRNA ","mRNA (gene expression), miRNA",Bulk,Genes,"Graph Convolutional Network (GCN), Transformer","active, passive","attribution, local",,attention,Own data,Unspecified,>500 & <1000,< 1000,No,"Pathway and molecule attention, multi-omic (mRNA, miRNA)","Out of 1,256 miRNAs and
20,502 mRNAs only 168 miRNA and 379 mRNA inputs are used in the graph.",weights of the last GTL layer aare used as a measure of importance (normalized by number of edges). Implemented on Google Colab but not shared?
https://www.nature.com/articles/s42256-021-00325-y,2021,Integration of multiomics data with graph convolutional networks to identify new cancer genes and their associated molecular mechanisms,GCN for cancer prediction from multi-omics data,"CNV, CpGs (methylation), SNV, mRNA (gene expression)",Bulk,Genes,Graph Convolutional Network (GCN),passive,"attribution, semi-local",LRP (Layerwise Relevance Propagation),"connection-weights, rule-based propagation",,Unspecified,>5000 & <10 000,< 50000,No,Used LRP and subnetworks to identify important genes,Only looks at gene level and higher,
https://www.biorxiv.org/content/10.1101/2021.12.27.474240v1.full.pdf,2021,Network-guided supervised learning on gene expression using a graph convolutional neural network,"Propose GrandLine, a GCN that uses spectral convolutions to predict phenotypes for gene expression data",mRNA (gene expression),Bulk,"Gene sets, Genes",Graph Convolutional Network (GCN),passive,"attribution, local",GradCAM,gradient-based,,Unspecified,>500 & <1000,< 50000,No,"Can identify subnetworks with GradCam. Uses STRING database, uses less trainable parameters than a standard DNN","arbitrary cut-off for visualization, effectiveness of GradCam hard to judge but works in the simple example.",adapted GradCam to the spectral domain.
https://academic.oup.com/bioinformatics/article-abstract/38/8/2178/6528315?redirectedFrom=fulltext,2022,Multi-level attention graph neural network based on co-expression gene modules for disease diagnosis and prognosis,multi-level attention graph neural network for disease prediction,mRNA (gene expression),Bulk,"Genes, Pathways",Graph Network,"active, passive","attribution, local",,"attention, gradient-based",,Unspecified,"<50, >500 & <1000",< 1000,No,Developed a full-gradient graph saliency (FGS) mechanism to highlight disease-relevant genes and pathways.,Co-expression (edges) are defined by a simple threshold that is optimized for all genes at the same time. Only a small number (~200) of the total features is used (~20 000). They did not test interpretation with simulations.,Proposes Full-gradient graph saliency (FGS) for interpretation
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9562172/,2022,Transformer for Gene Expression Modeling (T-GEM): An Interpretable Deep Learning Model for Gene Expression-Based Phenotype Predictions,predicting cancer related phenotypes using gene expression,mRNA (gene expression),Bulk,Genes,Transformer,passive,"attribution, local",Integrated gradients,"attention, gradient-based",,GPU (>13 GB),>10 000 & <50 000,< 10000,No,Uses a combination of entropy of the self-attention weights and integrated gradients for interpretation.,Explains only the first attention layer and no subsequent operation. Improvement over a regular CNN is minimal.,Uses the self-attention module of the first attention layer to explain its inner operations. Calculates the entropy of the attention weights across all samples.
https://academic.oup.com/nar/article/51/4/e20/6984592?login=true,2023,Single-cell gene regulatory network prediction by explainable AI,characterize the heterogeneity of gene regulation within and across tumors,sc-transcriptomics,Single-cell,Genes,Dense neural network,passive,"attribution, local",LRP (Layerwise Relevance Propagation),"connection-weights, rule-based propagation",,Unspecified,"<50, >10 000 & <50 000",< 1000,No,Interesting set-up of the training scheme to extract GRN,"Neural network is just a dense network. There where 10 patients and some networks are exclusive for some patients. How is hyperparameter tuning, early stopping done (where is the validation set)?",Uses sort of bagging (random forest) to predict Gene Regulatory Networks.
https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-022-04950-1,2022,Risk stratification and pathway analysis based on graph neural network and interpretable algorithm,predict long term survival of cancer,mRNA (gene expression),Bulk,"Genes, Pathways",Graph Network,passive,"attribution, local",Integrated gradients,gradient-based,Reactome,GPU (>13 GB),>1000 & <5000,< 10000,No,GraphSAGE was used to create node embeddings based on local information which shows to be stronger than graph attention networks and  graph convolutions,"Limited interpretation, only integrated gradients and not really an in-depth analysis. ",GraphSAGE was a useful addition in graph neural networks.
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9900791/pdf/nihpp-2023.01.25.525572v2.pdf,2023,An intrinsically interpretable neural network architecture for sequence to function learning,Predict open chromating from DNA sequence,genotype,Bulk,other,VNN (CNN),passive,"attribution, global","Other, Weights",other,,Unspecified,>500 000 & <1 000 000,< 1000,No,"Relativly simple network, can predict even while freezing the conv filters",interaction layer cannot take in account the distance between motifs,"Could be excluded since it is about predicting open chromatin. Designed a fully interpretable neural network with frozen convolutional filters, trainable pooling, an interaction layer and finally a linear layer. "
https://www.nature.com/articles/s41514-022-00085-y,2022,A pan-tissue DNA-methylation epigenetic clock based on deep learning,Construct a DNA-methylation epigenetic clock,CpGs (methylation),Bulk,"CpG sites, Genes",Dense neural network,passive,"attribution, local",GradientSHAP,"game theory, gradient-based",,Unspecified,>10 000 & <50 000,< 50000,No,"Large sample size, multiple tissues","Uses a subset of measured CpGs (20,318)",Uses shap gradientexplainer with DeepPINK
https://www.sciencedirect.com/science/article/pii/S0010482523000094,2023,An explainable AI-driven biomarker discovery framework for Non-Small Cell Lung Cancer classification,find non small cell lung cancer biomarkers (XAI-based future selection),mRNA (gene expression),Bulk,Genes,"AE, Dense neural network",passive,"attribution, local","DeepLIFT, GradientSHAP, Integrated gradients",gradient-based,,GPU (<13 GB),>500 & <1000,< 50000,Yes,Uses multiple interpretation methods,The interpretation methods are relativly similar,Uses an auto-encoder to get a lower dimensional representation. The encoder + classifier (feedforward neural network) are interpreted and used for feature selection
https://assets.researchsquare.com/files/rs-2184342/v1_covered.pdf?c=1667392879,2022,An Explainable Deep Network Framework with Case-based Reasoning Strategies for Survival Analysis in Cancer,survival analysis for cancer. Uses nearest distance retrieval to interpret,CpGs (methylation),Bulk,Genes,"AE, LSTM",passive,"attribution, local",SHAP,game theory,,Unspecified,>500 & <1000,< 50000,No,Uses a combination of AE and classifier network,Only out-of-the-bot SHAP is used to interpret. The case base similarity seems to add next to nothing,
https://www.medrxiv.org/content/10.1101/2023.01.31.23285308v2,2023,"BioDecoder: A miRNA Bio-interpretable Neural Network Model for
Noninvasive Diagnosis of Breast Cancer",Predict breast cancers using miRNAs,miRNA,Bulk,"Genes, Pathways",VNN (dense),"active, passive","attribution, global, hidden semantics",Other,connection-weights,"KEGG, miRTarBase",Unspecified,>1000 & <5000,< 10000,No,Ues external cohort to validate performance. Very high performance. compared to fully connected network of similar architecture and random forest,miRNA prior knowledge is fairly incomplete,
https://www.aimspress.com/article/doi/10.3934/mbe.2023366,2022,"Classification of Alzheimer’s disease using robust TabNet neural
networks on genetic data",AD diagnosis with gene expression data,mRNA (gene expression),Bulk,Genes,Transformer,active,"attribution, global",Other,"Feature selection, attention, other",,GPU (>13 GB),>500 & <1000,< 50000,No,"Interesting combination of masking, feature selection and attention (however not explained in detail)",low number of training examples and a differental gene screening seems may do a lot of heavy lifting,
https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1010921,2023,"CustOmics: A versatile deep-learning based
strategy for multi-omics integration",Reviews multi-omics integration and proposes a new two-step strategy,"CNV, CpGs (methylation), mRNA (gene expression)",Bulk,Genes,VAE,passive,"attribution, hidden semantics, local",DeepSHAP,"game theory, gradient-based",,GPU (>13 GB),>1000 & <5000,< 500 000,No,"Hierarchical autoencoder for a mixed integration (early, late) of multiomics data in a VAE.",Deepshap is applied per encoder. Interpreting the network is computationally expensive,"Uses a hierarchical autoencoder to combine CNV, methylation and RNA-seq data. "
https://arxiv.org/abs/2301.08831,2023,Explainable Multilayer Graph Neural Network for Cancer Gene Prediction,Build an explainable multiplayer graph neural network for identifying cancer genes,other,other,Genes,Graph Network,passive,"attribution, local",Integrated gradients,gradient-based,"CPDB, Multinet, PCNet, StringDB",Unspecified,>10 000 & <50 000,unspecified,No,Multi-graph inputs for a graph neural network. Modified integrated gradients for graph neural network. multi-omic dataset,only interpret meta-graph neural network,Inputs PPI networks to identify cancer genes with a graph neural network
https://www.biorxiv.org/content/10.1101/2022.10.27.514141v1.full.pdf,2022,"Transformer-based deep learning integrates multi-omic data with
cancer pathways",predict drug response and cancer type based on multi-omics data,"CNV, SNV, mRNA (gene expression)",Bulk,"Genes, Pathways",Transformer,passive,"attribution, global, local","LRP (Layerwise Relevance Propagation), SHAP","connection-weights, game theory, rule-based propagation",LCPathways,Unspecified,>500 & <1000,< 100 000,No,"Transformer for multi-omics data, evaluated for different tasks (classification of drugs, cancer type and subtype)",Use LRP and SHAP values to explain while integrating pathway knowledge in the network architecture. Other methods (i.e. inspecting the attention) would have provided a more comprehensive interpretation.,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4364890,2023,Discovering the Mechanism of Action of Drugs with a Novel Sparse Explainable Network,Predict drug response with a VNN,"SNV, mRNA (gene expression), other",Single-cell,"Gene sets, Genes",VNN (dense),passive,"attribution, global",DeepLIFT,gradient-based,Gene-Onthology,GPU (>13 GB),>500 & <1000,< 50000,No,Build a SVM classifier on the deeplift output to verify the importance,Similar results to Drugcell (but 94% less GPU memory).,Used a sparse layer instead of masking (drugcell)
https://www.ejcancer.com/action/showPdf?pii=S0959-8049%2822%2900533-0,2022,"DeepClassPathway: Molecular pathway aware
classification using explainable deep learning",Predict HPV associated head and neck cancers from transcriptomics data,mRNA (gene expression),Bulk,Pathways,Convolutional Neural Network (CNN),passive,"attribution, local",GradCAM,gradient-based,,Unspecified,>200 & <500,< 50000,Yes,Took a different approach by converting transcriptome matrix into images (pathway treemaps) and by using a CNN and grad-CAM,"Grad-CAM needs to be upsampled thus it provides coarser (pathway importance) and might not be suitable to provide single gene importance.  ",
https://www.biorxiv.org/content/10.1101/2023.01.31.526312v2.full.pdf,2023,"Single-cell multi-omic topic embedding reveals
cell-type-specific and COVID-19 severity-related
immune signatures",Integrating single cell multi-omics data using VAE,"proteome, sc-ATAC, sc-transcriptomics",Single-cell,"Cell type, Genes, Pathways",VAE,passive,attribution,Other,"connection-weights, prior knowledge",Gene-Onthology,Unspecified,>500 000 & <1 000 000,unspecified,Yes,"Multiple omics are itegrated in a VAE via product-of-experts. The decoder is linear and uses prior knowledge to allow for interpretation. Can do missing omics imputation, cell-type annotation",All omics need to be from the same cell. Interpretation analysis is not well-described as well as the network parameters.,
